SiteID,Site_Description_Cap,Site_Description_Lower,Region,Lat,Long,Site_Type
530,SUNDRIVE RD @ STANAWAY RD,sundrive rd @ stanaway rd,WCITY1,53.32240985,-6.294456571,SCATS Site
531,HOWTH RD @ CASTLE AVE,howth rd @ castle ave,WCITY1,53.37142931,-6.202690965,SCATS Site
532,OSCAR TRAYNOR RD @ WOODLAWN,oscar traynor rd @ woodlawn,WCITY1,53.3976418,-6.2295637,SCATS Site
533,NAVAN RD @ HAMPTON GREEN,navan rd @ hampton green,WCITY1,53.362704,-6.301878,SCATS Site
536,STRAND RD @ GILFORD RD,strand rd @ gilford rd,SCITY,53.32807166,-6.208759309,SCATS Site
540,OSCAR TRAYNOR RD / DUNDANIEL RD,oscar traynor rd / dundaniel rd,WCITY1,53.39784705,-6.224204176,SCATS Site
541,NEPHIN RD @ ST DECLAN'S SCHOOL,nephin rd @ st declan's school,NULL,53.36665212,-6.304971723,Signal Site
542,SHANTALLA RD @ SHANTALLA AVE,shantalla rd @ shantalla ave,NULL,53.387839,-6.238206,Signal Site
543,KILMORE RD @ ARDMORE DRIVE,kilmore rd @ ardmore drive,NULL,53.38829513,-6.214774617,Signal Site
544,CHAPELIZOD HILL RD / KYLEMORE RD,chapelizod hill rd / kylemore rd,WCITY1,53.3459452,-6.3513999,SCATS Site
545,STATION RD / SPRINGDALE RD,station rd / springdale rd,NCITY,53.3828948,-6.1761677,SCATS Site
546,HOWTH RD / COLLINS AVE EAST,howth rd / collins ave east,WCITY1,53.3709272,-6.206791,SCATS Site
547,FORTFIELD RD @ GREENLEA RD,fortfield rd @ greenlea rd,NULL,53.3067128,-6.301091,Signal Site
548,CLAREVILLE RD @ SCHOOL,clareville rd @ school,NULL,53.317534,-6.285995,Signal Site
549,KILMORE RD @ KILBARRON RD,kilmore rd @ kilbarron rd,NULL,53.39185354,-6.214926536,Signal Site
550,WARRINGTON PL @ MOUNT ST UP,warrington pl @ mount st up,DCC1,53.33639481,-6.24257178,SCATS Site
551,BALLYFERMOT RD @ COLEPARK ROAD ,ballyfermot rd @ colepark road ,WCITY1,53.3423246,-6.3542352,SCATS Site
552,BALLYFERMOT RD @ CHERRY ORCHARD HOSPITAL,ballyfermot rd @ cherry orchard hospital,WCITY1,53.344392,-6.376485,SCATS Site
553,BALLYFERMOT RD @ O-HOGAN RD,ballyfermot rd @ o-hogan rd,WCITY1,53.34239,-6.338905,SCATS Site
554,BALLYFERMOT RD @ BLACKDITCH DR,ballyfermot rd @ blackditch dr,WCITY1,53.3431763,-6.3650815,SCATS Site
555,BALLYMUN RD @ DCU,ballymun rd @ dcu,NCITY,53.3843805,-6.2652356,SCATS Site
556,FINGLAS RD @ GLASNEVIN CEMETERY,finglas rd @ glasnevin cemetery,NCITY,53.3697792,-6.277816711,SCATS Site
557,BALLYMUN RD @ COMPREHENSIVE SCHOOL,ballymun rd @ comprehensive school,NULL,53.393176,-6.263567,Signal Site
558,WHITWORTH RD @ CLAUDE RD,whitworth rd @ claude rd,NULL,53.363385,-6.265871,Signal Site
559,CUSTOM HOUSE QY @ COMMON ST,custom house qy @ common st,CCITY,53.34793052,-6.246103994,SCATS Site
560,HOMEFARM RD @ FERGUSON RD,homefarm rd @ ferguson rd,NULL,53.374524,-6.256956,Signal Site
561,HOWTH RD @ SUPERVALUE,howth rd @ supervalue,WCITY1,53.38010538,-6.177531807,SCATS Site
562,BOTANIC AVE @ MANNIX RD,botanic ave @ mannix rd,NULL,53.368628,-6.260838,Signal Site
563,BOTANIC AVE @ BOTANIC PARK,botanic ave @ botanic park,NULL,53.370281,-6.263775,Signal Site
564,EGLINTON RD @ EGLINTON SQ,eglinton rd @ eglinton sq,NULL,53.319071,-6.234046,Signal Site
565,IONA RD @ CHURCH,iona rd @ church,NULL,53.365964,-6.264514,Signal Site
566,BALLYMUN RD @ SANTRY AVE,ballymun rd @ santry ave,DCC1,53.40150126,-6.264615655,SCATS Site
568,FINGLAS VILLAGE,finglas village,WCITY1,53.38881722,-6.298634242,SCATS Site
569,GRANGE RD / HOWTH VIEW PK,grange rd / howth view pk,,53.394033,-6.166281,SCATS Site
